Player 1,Player 2,Player 3,Winner Char,Winner Name
Skeptical,Credulous,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Credulous,Skeptical,Skeptical,Player_3
,,,,
Skeptical,Credulous,Skeptical,Skeptical,Player_3
,,,,
Skeptical,Credulous,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Credulous,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Credulous,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Revising,Player_3
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Credulous,Revising,Revising,Player_3
,,,,
Skeptical,Credulous,Revising,Revising,Player_3
,,,,
Skeptical,Credulous,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Credulous,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Skeptical,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Skeptical,Revising,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Skeptical,Player_1
,,,,
Skeptical,Revising,Credulous,Revising,Player_2
,,,,
